agiCode, name
"At3g54220","SCR"
"At1g13980","GN"
"At4g21750","ATML1"
"At5g40260","SWEET8"
"At1g69670","CUL3B"
"At1g63700","YDA"
"At2g46710","ROPGAP3"
"At1g26830","CUL3A"
"At3g09090","DEX1"
"At4g37650","SHR"
"At5g55250","IAMT1"
"At3g02130","RPK2"
"At2g42580","TTL3"
"At1g69270","RPK1"
"At5g02010","ROPGEF7"
"At1g66470","RHD6"
"At5g37800","RSL1"
